datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86844,-51.76174,
2017/12/06 16:26:00,NPP-375,Brasil,RIO GRANDE DO SUL,GENERAL CAMARA,Pampa,0,0,0.01,-29.803,-52.01904,
2017/12/10 16:51:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,0.71,-29.78051,-56.29299,
2018/01/20 17:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JERONIMO,Pampa,0,10.43,0,-30.57311,-51.96532,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,,,,-31.86509,-53.43963,
2018/02/15 23:03:35,NOAA-18,Brasil,RIO GRANDE DO SUL,CACHOEIRA DO SUL,Pampa,0,0,0.13,-29.9627,-52.7615,
2017/12/29 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,1,-29.64591,-56.31509,
2017/12/14 23:33:06,NOAA-18,Brasil,RIO GRANDE DO SUL,TAVARES,Pampa,0,0,0,-31.1852,-51.0746,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,,,,-31.22532,-53.41979,
2017/12/29 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO GABRIEL,Pampa,0,0,0.06,-30.54709,-54.42224,
2018/02/19 17:54:00,NPP-375,Brasil,RIO GRANDE DO SUL,RIO GRANDE,Pampa,0,4.75,0,-32.30376,-52.32668,
2018/03/08 17:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,1,-31.11669,-53.03661,
2017/12/15 16:57:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,0.4,-31.26519,-53.26526,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-31.62915,-53.03872,
2017/12/13 00:05:55,GOES-13,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.06,-31.76,-53.85,
2018/02/23 19:47:18,GOES-16,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,0.7,-31.09,-53.03,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-31.77159,-53.27383,
