datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,ITACAJA,Cerrado,89,0,1,-8.65,-47.983,14.3
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRANTE,Cerrado,3,0,1,-8.018,-47.991,19.8
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRANTE,Cerrado,3,0,1,-8.017,-47.981,13.4
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRANTE,Cerrado,3,0,1,-8.007,-47.982,22.2
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,67,0,1,-7.921,-47.283,10.3
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,118,0,1,-7.865,-46.213,10.5
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,118,0,1,-7.863,-46.204,6.8
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,CAROLINA,Cerrado,102,0,1,-7.682,-47.264,10
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,SAMBAIBA,Cerrado,88,0,1,-7.505,-45.755,33.7
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,97,0,1,-7.501,-46.113,7.1
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,97,0,1,-7.492,-46.114,13
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,SAO FELIX DE BALSAS,Cerrado,104,0,1,-7.301,-44.964,16.2
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BENEDITO LEITE,Cerrado,33,0,1,-7.126,-44.519,15
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,MONTES ALTOS,Cerrado,80,0,1,-5.916,-47.137,39
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,AURORA DO TOCANTINS,Cerrado,102,0,1,-12.524,-46.23,315.8
2018/02/12 16:50:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Cerrado,0,0.82,0.01,-13.135,-58,51.2
2018/06/11 16:55:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,20,0,1,-10.851,-49.768,148.5
2018/07/20 17:00:00,AQUA_M-T,Brasil,GOIAS,MINEIROS,Cerrado,43,0,1,-18.054,-52.801,122.6
2018/07/20 17:05:00,AQUA_M-T,Brasil,TOCANTINS,ANGICO,Cerrado,60,0,1,-6.382,-47.965,23.7
2018/09/02 17:25:00,AQUA_M-T,Brasil,GOIAS,ITAPIRAPUA,Cerrado,17,0,1,-15.626,-51.021,123.4
2018/09/10 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,25,0,1,-17.707,-44.303,10.4
2018/09/10 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,16,0,1,-17.413,-46.706,11.7
2018/09/11 17:20:00,AQUA_M-T,Brasil,GOIAS,JATAI,Cerrado,18,0,1,-17.89,-51.648,77.1
2018/09/26 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERLANDIA,Cerrado,6,0,0,-18.641,-48.518,31.3
2018/07/11 17:05:00,AQUA_M-T,Brasil,SAO PAULO,BOTUCATU,Cerrado,14,0,1,-22.821,-48.458,13.2
2018/07/22 16:50:00,AQUA_M-T,Brasil,TOCANTINS,DOIS IRMAOS DO TOCANTINS,Cerrado,69,0,1,-9.366,-49.033,13.2
2018/09/24 16:50:00,AQUA_M-T,Brasil,GOIAS,PLANALTINA,Cerrado,2,0,0.6,-15.156,-47.921,25.1
2018/09/07 16:05:00,AQUA_M-T,Brasil,PIAUI,GILBUES,Cerrado,26,0,1,-9.735,-45.447,71
2017/12/26 16:52:00,AQUA_M-T,Brasil,TOCANTINS,PIUM,Cerrado,0,14.73,0,-10.33,-49.377,
2017/12/05 16:35:00,AQUA_M-T,Brasil,PIAUI,TERESINA,Cerrado,0,0,,-4.886,-42.829,
2017/12/05 16:34:00,AQUA_M-T,Brasil,MARANHAO,LORETO,Cerrado,0,0,0.59,-7.066,-45.199,
2017/12/12 16:41:00,AQUA_M-T,Brasil,MARANHAO,BURITIRANA,Cerrado,0,6.77,0.15,-5.521,-47.036,
2017/12/30 16:28:00,AQUA_M-T,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,,,,-5.823,-45.32,
2017/12/30 16:29:00,AQUA_M-T,Brasil,MARANHAO,TIMBIRAS,Cerrado,,,,-4.089,-43.903,
2017/12/26 16:54:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.107,-41.965,
2017/12/06 17:14:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITORIA,Cerrado,0,51.27,0,-18.857,-50.171,
2017/12/30 16:28:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-5.903,-44.128,
2017/12/06 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,0,13.32,0.01,-15.343,-53.067,
2018/03/06 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,0,0.05,0.06,-17.401,-46.534,47.7
2018/03/07 16:55:00,AQUA_M-T,Brasil,GOIAS,PIRANHAS,Cerrado,0,8.05,0.01,-16.211,-51.82,20.7
2018/03/07 16:55:00,AQUA_M-T,Brasil,GOIAS,TRINDADE,Cerrado,0,16.58,0.24,-16.59,-49.567,9.4
2018/07/13 16:55:00,AQUA_M-T,Brasil,PIAUI,GILBUES,Cerrado,80,0,1,-9.61,-45.737,14.5
2018/07/16 17:25:00,AQUA_M-T,Brasil,TOCANTINS,PORTO NACIONAL,Cerrado,9,0,1,-10.072,-48.453,42.9
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,LIMA CAMPOS,Cerrado,0,0,,-4.575,-44.502,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,SENADOR ALEXANDRE COSTA,Cerrado,0,0,,-5.286,-44.06,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,GONCALVES DIAS,Cerrado,0,0,,-5.247,-44.212,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,COROATA,Cerrado,0,0,,-3.949,-44.012,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,GONCALVES DIAS,Cerrado,0,0,,-5.245,-44.201,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,0,0,,-3.83,-44.164,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,0,0,,-3.832,-44.175,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,LIMA CAMPOS,Cerrado,0,0,,-4.549,-44.4,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.184,-42.051,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,MATA ROMA,Cerrado,0,0,,-3.602,-43.106,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.078,-41.925,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.166,-42.641,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,TIMON,Cerrado,0,0,,-4.941,-42.91,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ANAPURUS,Cerrado,0,0,,-3.706,-43.026,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.164,-42.626,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.074,-41.933,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.181,-42.034,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.184,-42.028,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-3.08,-41.943,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ANAPURUS,Cerrado,0,0,,-3.707,-43.035,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,SANTA QUITERIA DO MARANHAO,Cerrado,0,0,,-3.3,-42.995,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ANAPURUS,Cerrado,0,0,,-3.708,-43.041,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,GOVERNADOR ARCHER,Cerrado,0,0,,-4.923,-44.163,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.353,-44.391,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,SAO LUIS GONZAGA DO MARANHAO,Cerrado,0,0,,-4.463,-44.509,
2017/12/03 16:47:00,AQUA_M-T,Brasil,MARANHAO,LIMA CAMPOS,Cerrado,0,0,,-4.585,-44.5,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,ANAPURUS,Cerrado,0,0,,-3.539,-43.046,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,COELHO NETO,Cerrado,0,0,,-4.218,-43.126,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SANTA QUITERIA DO MARANHAO,Cerrado,0,0,,-3.296,-42.794,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,0,0,,-3.34,-42.615,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.325,-42.617,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,0,0,,-4.589,-43.469,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,BURITI,Cerrado,0,0,,-4.021,-43.085,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.329,-42.649,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,BREJO,Cerrado,0,0,,-3.583,-42.831,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,BURITI,Cerrado,0,0,,-4.015,-43.093,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.336,-42.652,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,ALDEIAS ALTAS,Cerrado,0,0,,-4.592,-43.464,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,NINA RODRIGUES,Cerrado,0,0,,-3.42,-43.895,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.331,-42.621,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,0,0,,-3.395,-42.545,
2017/12/04 15:52:00,AQUA_M-T,Brasil,MARANHAO,CODO,Cerrado,0,0,,-4.867,-43.896,
2017/12/05 16:35:00,AQUA_M-T,Brasil,PIAUI,TERESINA,Cerrado,0,0,,-4.898,-42.846,
2017/12/05 16:34:00,AQUA_M-T,Brasil,MARANHAO,GOVERNADOR LUIZ ROCHA,Cerrado,0,0,,-5.488,-44.19,
2017/12/05 16:34:00,AQUA_M-T,Brasil,MARANHAO,GOVERNADOR LUIZ ROCHA,Cerrado,0,0,,-5.486,-44.181,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.486,-44.159,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,COROATA,Cerrado,0,0,,-3.982,-44.023,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.503,-44.215,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO MATEUS DO MARANHAO,Cerrado,0,0,,-3.918,-44.412,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,JOSELANDIA,Cerrado,0,0,,-5.104,-44.725,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,CODO,Cerrado,0,0,,-4.75,-44.118,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,PRESIDENTE VARGAS,Cerrado,0,0,,-3.432,-43.975,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,COROATA,Cerrado,0,0,,-4.006,-44.001,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,0,0,,-3.712,-44.199,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,GONCALVES DIAS,Cerrado,0,0,,-5.157,-44.326,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-2.94,-42.044,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.487,-44.168,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,LAGO DA PEDRA,Cerrado,0,0,,-4.574,-45.078,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,LIMA CAMPOS,Cerrado,0,0,,-4.551,-44.53,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.486,-44.223,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.495,-44.161,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,0,0,,-2.979,-41.824,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,0,0,,-3.497,-44.17,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO JOSE DOS BASILIOS,Cerrado,0,0,,-4.985,-44.537,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,0,0,,-3.721,-44.198,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,0,0,,-3.352,-42.543,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,BARREIRINHAS,Cerrado,0,0,,-2.862,-43.084,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,SANTANA DO MARANHAO,Cerrado,0,0,,-3.158,-42.519,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,COELHO NETO,Cerrado,0,0,,-4.13,-43.072,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO BERNARDO,Cerrado,0,0,,-3.304,-42.383,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,URBANO SANTOS,Cerrado,0,0,,-3.188,-43.05,
2017/12/05 16:35:00,AQUA_M-T,Brasil,MARANHAO,TIMBIRAS,Cerrado,0,0,,-4.121,-43.899,
