ID,LatitudeX,LongitudeY,Area,Bioma
144,-45.78999999999999,-6.189999999999998,9.999999999996021e-05,Cerrado
145,-45.769999999999996,-6.189999999999998,9.999999999996021e-05,Cerrado
146,-45.64999999999999,-6.204999999999997,0.00019999999999995594,Cerrado
147,-45.77749999999998,-6.2174999999999985,0.0004000000000000185,Cerrado
148,-45.7275,-6.237499999999999,0.0003999999999999474,Cerrado
149,-48.544999999999995,-6.225625,0.0016000000000001091,Amazonia
150,-45.75,-6.25,9.999999999999574e-05,Cerrado
151,-45.81999999999999,-6.2749999999999995,0.00019999999999995594,Cerrado
152,-48.48333333333332,-6.303333333333333,0.0002999999999999872,Amazonia
153,-45.84499999999999,-6.299999999999998,0.00019999999999999147,Cerrado
154,-45.71499999999999,-6.299999999999998,0.00019999999999999147,Cerrado
155,-45.50999999999999,-6.305,0.0005999999999998679,Cerrado
