,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
30153,2017/06/12 20:57:29,0.0,0.0,1.0,-8.839080000000001,-37.1273
30401,2017/06/08 16:23:00,0.0,0.0,1.0,-12.37272,-39.34295
31231,2017/06/12 16:49:00,0.0,0.0,1.0,-10.13247,-39.09734
31236,2017/06/04 00:21:14,0.0,0.0,,-5.06920003890991,-42.5107002258301
31499,2017/06/04 03:22:00,0.0,0.0,,-5.07338,-42.52191
32665,2017/06/02 04:02:00,0.0,0.2,1.0,-13.051919999999999,-41.45145
32911,2017/06/08 16:22:00,0.0,0.0,1.0,-15.33641,-43.2766
33159,2017/06/07 04:06:00,0.0,0.0,,-5.07296,-42.51724
33470,2017/06/15 22:02:08,0.0,0.0,1.0,-14.4705,-43.2867
33703,2017/06/10 15:45:00,0.0,0.0,1.0,-14.0451,-41.26014
33705,2017/06/15 03:17:00,0.0,0.0,1.0,-9.4273,-40.41085
33966,2017/06/09 03:29:00,0.0,0.0,1.0,-7.37978,-38.75738
34003,2017/06/19 16:17:00,0.0,0.0,1.0,-13.586889999999999,-41.56422
34481,2017/06/12 04:13:00,0.0,0.0,1.0,-9.60058,-40.33945
34695,2017/06/02 04:01:00,0.0,0.0,1.0,-9.43058,-40.36472
34759,2017/06/26 15:46:00,0.0,0.0,1.0,-8.58961,-36.80717
34875,2017/06/09 16:06:00,0.0,0.0,,-4.8350599999999995,-39.62036
35508,2017/06/14 03:36:00,0.0,0.0,1.0,-11.839780000000001,-41.340790000000005
35876,2017/06/01 16:54:00,0.0,0.4,1.0,-13.847929999999998,-41.3063
35877,2017/06/09 03:29:00,0.0,0.0,1.0,-9.43709,-40.33442
36184,2017/06/23 16:42:00,0.0,0.0,1.0,-10.79101,-42.76625
36525,2017/06/30 16:13:00,0.0,14.0,,-3.2246799999999998,-40.70292
36526,2017/06/30 16:13:00,0.0,54.5,,-2.91161,-41.98075
36527,2017/06/30 16:13:00,0.0,2.5,,-3.89932,-40.73771
38474,2017/06/01 21:26:24,0.0,0.0,,-3.5981099999999997,-38.8854
38475,2017/06/02 16:38:00,0.0,0.0,,-4.3509199999999995,-38.025999999999996
38476,2017/06/02 13:04:00,0.0,5.0,,-5.292999999999999,-37.119
38477,2017/06/02 15:58:00,0.0,0.0,,-5.159,-37.61
38478,2017/06/02 04:00:00,0.0,0.0,,-5.38245,-36.821909999999995
38479,2017/06/02 03:59:00,0.0,0.0,,-3.8569400000000003,-38.60862
38480,2017/06/03 16:17:00,0.0,15.8,,-10.867280000000001,-42.77299
38481,2017/06/03 16:19:00,0.0,0.0,,-4.0719199999999995,-39.57783
38482,2017/06/03 04:22:00,0.0,0.0,,-5.069,-42.52
38483,2017/06/03 03:41:00,0.0,0.0,,-5.07081,-42.52029
38484,2017/06/03 16:19:00,0.0,0.0,,-5.29542,-40.57809
38485,2017/06/03 16:19:00,0.0,0.0,,-4.07449,-39.57827
38486,2017/06/04 00:21:14,0.0,0.0,,-5.0676999092102095,-42.5037994384766
38487,2017/06/04 03:22:00,0.0,0.0,,-5.0695,-42.521190000000004
38488,2017/06/04 16:01:00,0.0,0.0,,-2.84977,-41.97753
38489,2017/06/04 16:00:00,0.0,0.0,,-5.07092,-42.51883
38490,2017/06/04 16:00:00,0.0,0.0,,-5.07022,-42.51386
38491,2017/06/04 03:22:00,0.0,0.0,,-5.07606,-42.522529999999996
38492,2017/06/04 20:59:36,0.0,0.0,,-5.08,-42.51
38493,2017/06/04 16:00:00,0.0,0.0,,-5.06631,-42.51443
38494,2017/06/04 03:22:00,0.0,0.0,,-5.07447,-42.516009999999994
38495,2017/06/04 16:00:00,0.0,0.0,,-5.07161,-42.52189
38496,2017/06/04 16:00:00,0.0,0.0,,-5.070869999999999,-42.51692
38497,2017/06/04 00:21:14,0.0,0.0,,-5.070799827575679,-42.5176010131836
38498,2017/06/04 16:00:00,0.0,0.0,,-5.06696,-42.51748
38499,2017/06/04 20:29:34,0.0,0.0,,-5.08,-42.54
38500,2017/06/05 01:11:00,0.0,0.0,,-5.077,-42.521
38501,2017/06/05 15:42:00,0.0,0.0,,-3.59455,-41.39195
38502,2017/06/05 15:41:00,0.0,0.0,,-4.3181,-38.01339
38503,2017/06/05 15:41:00,0.0,0.0,,-4.31776,-38.03883
38504,2017/06/06 17:03:00,0.0,0.0,,-5.0759300000000005,-42.51189
38505,2017/06/06 12:40:00,0.0,0.0,,-5.062,-37.828
38506,2017/06/06 17:03:00,0.0,0.0,,-5.07054,-42.517590000000006
38507,2017/06/06 17:03:00,0.0,0.0,,-5.07445,-42.51536
38508,2017/06/06 17:03:00,0.0,0.0,,-5.0736099999999995,-42.51068
38509,2017/06/06 17:03:00,0.0,0.0,,-5.2954300000000005,-40.5729
38510,2017/06/06 22:08:58,0.0,0.0,,-3.62154,-38.8981
38511,2017/06/06 17:03:00,0.0,0.0,,-5.07528,-42.51999
38512,2017/06/06 16:59:37,0.0,0.0,,-5.08,-42.54
38513,2017/06/06 17:03:00,0.0,0.0,,-5.06974,-42.51293
38514,2017/06/06 22:08:45,0.0,0.0,,-5.09371,-42.5398
38515,2017/06/06 17:03:00,0.0,0.0,,-5.0761,-42.52458
38516,2017/06/06 17:03:00,0.0,0.0,,-5.07753,-42.52118
38517,2017/06/06 22:08:45,0.0,0.0,,-5.092,-42.5297
38518,2017/06/06 17:03:00,0.0,0.0,,-5.07673,-42.51655
38519,2017/06/07 04:06:00,0.0,0.0,,-4.4794599999999996,-38.44763
38520,2017/06/07 16:44:00,0.0,0.0,,-5.36315,-38.80958
38521,2017/06/07 16:16:00,0.0,0.0,,-3.694,-40.427
38522,2017/06/07 04:05:00,0.0,0.0,,-3.85678,-38.60566
38523,2017/06/07 04:06:00,0.0,0.0,,-5.18521,-37.3665
38524,2017/06/07 21:57:19,0.0,0.0,,-3.6161800000000004,-38.8829
38525,2017/06/07 16:17:00,0.0,0.0,,-2.9010000000000002,-41.95399999999999
38526,2017/06/07 16:45:00,0.0,0.0,,-2.92856,-41.71993
38527,2017/06/07 16:17:00,0.0,0.0,,-2.9,-41.943999999999996
38528,2017/06/07 16:45:00,0.0,0.0,,-3.08343,-40.07232
38529,2017/06/07 04:06:00,0.0,0.0,,-5.0763300000000005,-42.51778
38530,2017/06/07 16:45:00,0.0,0.0,,-2.8947700000000003,-41.94805
38531,2017/06/07 04:06:00,0.0,0.0,,-5.07575,-42.521390000000004
38532,2017/06/07 16:44:00,0.0,0.0,,-3.08249,-40.07056
38533,2017/06/07 04:06:00,0.0,0.0,,-5.07353,-42.51363
38534,2017/06/07 21:57:19,0.0,0.0,,-3.6142199999999995,-38.8713
38535,2017/06/08 03:47:00,0.0,0.0,,-3.6893,-40.43073
38536,2017/06/08 03:47:00,0.0,0.0,,-5.21065,-37.65191
38537,2017/06/08 16:26:00,0.0,0.0,,-3.4474199999999997,-42.39362
38538,2017/06/08 16:26:00,0.0,0.0,,-3.18405,-39.84941
38539,2017/06/08 21:45:19,0.0,0.0,,-5.14719,-40.6927
38540,2017/06/08 21:45:10,0.0,0.0,,-5.22918,-37.8883
38541,2017/06/09 16:04:00,0.0,0.0,,-3.023,-41.763999999999996
38542,2017/06/09 16:07:00,0.0,0.0,,-3.02274,-41.76648
38543,2017/06/09 16:04:00,0.0,0.0,,-3.537,-41.176
38544,2017/06/09 16:04:00,0.0,0.0,,-3.537,-41.181000000000004
38545,2017/06/09 21:33:30,0.0,0.0,,-5.24288,-37.6388
38546,2017/06/09 16:07:00,0.0,0.0,,-4.02915,-42.06923
38547,2017/06/09 16:07:00,0.0,0.0,,-4.02971,-42.073029999999996
38548,2017/06/09 16:07:00,0.0,0.0,,-3.01266,-41.7456
38549,2017/06/09 16:07:00,0.0,0.0,,-3.52989,-41.17667
38550,2017/06/09 16:07:00,0.0,0.0,,-3.00925,-41.746109999999994
38551,2017/06/09 16:07:00,0.0,0.0,,-2.92725,-41.942440000000005
38552,2017/06/09 16:06:00,0.0,0.0,,-5.27114,-38.74152
38554,2017/06/10 21:59:09,0.0,1.4,,-3.1,-41.67
38555,2017/06/10 01:29:00,0.0,0.2,,-3.605,-38.944
38556,2017/06/10 01:29:00,0.0,0.2,,-3.608,-38.96
38557,2017/06/10 01:29:00,0.0,0.2,,-3.6,-38.951
38558,2017/06/10 13:53:00,0.0,3.1,,-3.668,-41.533
38559,2017/06/10 03:09:00,0.0,0.2,,-3.60299,-38.95105
38560,2017/06/10 04:28:00,0.0,0.0,,-3.8569999999999998,-40.971000000000004
38561,2017/06/10 21:59:09,0.0,1.4,,-3.1,-41.7
38562,2017/06/10 03:09:00,0.0,0.2,,-3.60472,-38.95296
38563,2017/06/10 04:50:00,0.0,0.0,,-3.8574,-40.97729
38564,2017/06/10 04:50:00,0.0,0.0,,-3.8580400000000004,-40.97285
38565,2017/06/11 15:52:00,0.0,0.0,,-3.012,-41.755
38566,2017/06/11 15:52:00,0.0,0.6,,-3.667,-41.533
38567,2017/06/11 15:52:00,0.0,0.0,,-3.012,-41.751000000000005
38568,2017/06/11 15:29:00,0.0,0.0,,-3.00895,-41.7491
38569,2017/06/11 15:29:00,0.0,0.0,,-2.93502,-41.976620000000004
38570,2017/06/11 15:29:00,0.0,0.0,,-3.0150799999999998,-41.74823
38571,2017/06/11 15:29:00,0.0,0.0,,-3.0145,-41.74905
38572,2017/06/12 09:29:14,0.0,0.0,,-3.82,-40.2
38573,2017/06/12 13:44:00,0.0,0.0,,-15.475,-44.38
38574,2017/06/12 16:51:00,0.0,0.0,,-2.99,-41.963570000000004
38575,2017/06/13 16:32:00,0.0,0.0,,-4.36104,-40.76591
38576,2017/06/13 16:31:00,0.0,0.0,,-4.86041,-37.28948
38577,2017/06/13 16:31:00,0.0,0.0,,-5.14604,-40.793
38578,2017/06/13 16:31:00,0.0,0.0,,-5.394419999999999,-40.35242
38579,2017/06/13 16:31:00,0.0,0.0,,-5.398,-40.34798
38580,2017/06/13 16:31:00,0.0,0.0,,-5.27379,-42.10774
38581,2017/06/13 03:53:00,0.0,0.0,,-5.38074,-36.8202
38582,2017/06/13 16:32:00,0.0,0.0,,-3.24421,-41.51242
38583,2017/06/13 16:31:00,0.0,0.0,,-5.39861,-40.35178
38584,2017/06/13 16:31:00,0.0,0.0,,-5.27324,-42.106640000000006
38585,2017/06/13 16:31:00,0.0,0.0,,-5.14956,-40.788790000000006
38586,2017/06/13 16:32:00,0.0,0.0,,-2.9719,-41.98216
38587,2017/06/13 09:45:25,0.0,0.0,,-3.61723,-38.8629
38588,2017/06/14 09:34:11,0.0,0.0,,-3.55816,-38.9056
38589,2017/06/14 13:29:00,0.0,0.0,,-4.676,-41.99100000000001
38590,2017/06/14 16:13:00,0.0,0.0,,-4.8112699999999995,-40.563109999999995
38591,2017/06/14 16:13:00,0.0,0.0,,-3.44955,-41.14082
38592,2017/06/14 06:11:57,0.0,0.0,,-3.58301,-38.8273
38593,2017/06/15 15:54:00,0.0,0.0,,-4.3162400000000005,-38.036190000000005
38594,2017/06/15 15:54:00,0.0,0.0,,-4.14637,-42.43353
38595,2017/06/15 15:54:00,0.0,0.0,,-5.26788,-38.9147
38596,2017/06/15 17:05:00,0.0,0.0,,-3.967,-41.799
38597,2017/06/15 15:54:00,0.0,0.0,,-4.828119999999999,-40.931
38598,2017/06/15 15:54:00,0.0,0.0,,-4.31339,-38.040279999999996
38599,2017/06/15 15:27:00,0.0,0.0,,-4.322,-38.037
38600,2017/06/15 15:27:00,0.0,0.0,,-4.324,-38.041
38601,2017/06/15 09:22:07,0.0,0.0,,-3.5901400000000003,-38.8346
38602,2017/06/15 15:54:00,0.0,0.0,,-3.9634,-41.790490000000005
38603,2017/06/15 22:04:57,0.0,0.0,,-3.8883199999999998,-41.0369
38604,2017/06/15 22:04:57,0.0,0.0,,-3.8865199999999995,-41.0263
38605,2017/06/15 15:54:00,0.0,0.0,,-3.96735,-41.78933
38606,2017/06/15 15:54:00,0.0,0.0,,-3.96329,-41.78995
38607,2017/06/15 15:54:00,0.0,0.0,,-4.30839,-38.03
38608,2017/06/16 13:16:00,0.0,0.0,,-3.011,-41.74
38609,2017/06/16 21:53:15,0.0,0.1,,-3.60488,-38.8745
38610,2017/06/16 21:52:50,0.0,0.0,,-5.21269,-39.3607
38611,2017/06/16 21:53:15,0.0,0.1,,-3.60649,-38.8841
38612,2017/06/16 13:16:00,0.0,0.0,,-3.025,-41.769
38613,2017/06/16 21:52:50,0.0,0.0,,-5.2112300000000005,-39.352
38614,2017/06/16 15:36:00,0.0,0.0,,-3.02241,-41.76879
38615,2017/06/17 13:59:00,0.0,2.4,,-3.3680000000000003,-42.29600000000001
38616,2017/06/17 12:21:00,0.0,0.7,,-5.445,-36.874
38617,2017/06/17 04:18:00,0.0,0.0,,-3.9466699999999997,-40.1924
38618,2017/06/17 16:57:00,0.0,0.0,,-3.01403,-41.77622
38619,2017/06/18 03:59:00,0.0,4.3,,-2.94092,-40.097
38620,2017/06/18 16:38:00,0.0,0.0,,-2.87169,-41.92651
38621,2017/06/18 04:00:00,0.0,0.0,,-5.1339999999999995,-40.683440000000004
38622,2017/06/18 16:38:00,0.0,0.0,,-2.87606,-41.92586
38623,2017/06/18 03:59:00,0.0,4.3,,-2.93757,-40.096470000000004
38624,2017/06/18 00:40:00,0.0,0.0,,-4.8260000000000005,-37.42
38625,2017/06/18 00:40:00,0.0,0.0,,-4.823,-37.427
38626,2017/06/18 13:04:00,0.0,0.0,,-4.821000000000001,-37.426
38627,2017/06/18 13:04:00,0.0,0.0,,-4.823,-37.416
