,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
45,3.84,-60.485,Amazonia,2456435.038893228,3.033169533169533,1.141575552825553,0.0672869429241595
46,3.83,-60.47,Amazonia,1228231.5060513848,3.033169533169533,1.141575552825553,0.0672869429241595
47,3.82,-51.5875,Amazonia,8597718.120733028,3.033169533169533,1.141575552825553,0.0672869429241595
48,3.8,-59.72,Amazonia,1228273.2472883065,3.033169533169533,1.141575552825553,0.0672869429241595
49,3.79,-59.73,Amazonia,1228287.0881729908,3.033169533169533,1.141575552825553,0.0672869429241595
50,3.78,-59.96,Amazonia,1228300.8926246422,3.033169533169533,1.141575552825553,0.0672869429241595
51,3.78,-59.94,Amazonia,1228300.8926246422,3.033169533169533,1.141575552825553,0.0672869429241595
52,3.77,-59.95,Amazonia,1228314.6606465457,3.033169533169533,1.141575552825553,0.0672869429241595
53,3.77,-59.925,Amazonia,2456629.3212930914,3.033169533169533,1.141575552825553,0.0672869429241595
54,3.77,-59.785,Amazonia,2456629.3212930914,3.033169533169533,1.141575552825553,0.0672869429241595
55,3.7475,-60.47,Amazonia,8598394.466032917,3.033169533169533,1.141575552825553,0.0672869429241595
56,3.755,-59.7,Amazonia,2456670.4796365253,3.033169533169533,1.141575552825553,0.0672869429241595
57,3.75,-60.45,Amazonia,1228342.0873956329,3.033169533169533,1.141575552825553,0.0672869429241595
58,3.75,-59.755,Amazonia,2456684.1747912657,3.033169533169533,1.141575552825553,0.0672869429241595
59,3.69,-59.965,Amazonia,4913693.936554186,3.033169533169533,1.141575552825553,0.0672869429241595
60,3.67,-59.83,Amazonia,1228450.3370607842,3.033169533169533,1.141575552825553,0.0672869429241595
61,3.655,-59.839783,Amazonia,34396822.62147835,3.033169533169533,1.141575552825553,0.0672869429241595
62,3.635,-59.935,Amazonia,7370981.7509519765,3.033169533169533,1.141575552825553,0.0672869429241595
63,3.633571,-59.900714,Amazonia,6142491.421432213,3.033169533169533,1.141575552825553,0.0672869429241595
64,3.555,-60.465,Amazonia,3685812.051504632,3.033169533169533,1.141575552825553,0.0672869429241595
65,3.557,-60.257,Amazonia,9828827.815200344,3.033169533169533,1.141575552825553,0.0672869429241595
66,3.54,-60.44,Amazonia,1228621.269329682,3.033169533169533,1.141575552825553,0.0672869429241595
67,3.53,-60.43,Amazonia,1228634.1629029221,3.033169533169533,1.141575552825553,0.0672869429241595
68,3.4916669999999996,-51.395,Amazonia,6143439.538919427,3.033169533169533,1.141575552825553,0.0672869429241595
69,3.469286,-51.260714,Amazonia,19659460.06849508,3.033169533169533,1.141575552825553,0.0672869429241595
70,3.46,-51.5,Amazonia,1228723.3975968007,3.033169533169533,1.141575552825553,0.0672869429241595
71,3.4016669999999998,-51.288333,Amazonia,9830400.016695667,3.033169533169533,1.141575552825553,0.0672869429241595
72,3.355,-60.37,Amazonia,2457707.7940253573,3.033169533169533,1.141575552825553,0.0672869429241595
73,3.28,-60.05,Amazonia,1228944.6587237092,3.033169533169533,1.141575552825553,0.0672869429241595
74,3.27,-60.44,Amazonia,1228956.60478507,3.033169533169533,1.141575552825553,0.0672869429241595
75,3.25,-60.67,Amazonia,9831819.317737047,3.033169533169533,1.141575552825553,0.0672869429241595
76,3.26,-60.45,Amazonia,1228968.5143991592,3.033169533169533,1.141575552825553,0.0672869429241595
